N-Number,Serial Number,MFR MDL Code,Eng MFR Code,Year MFR,Type Registrant,Name,Street 1,Street2,City,State,ZIP,Region,County ,Country,Last Activity Date,Cert Issue Date,Certification Requested ,Type Aircraft,Type Engine,Status Code,Mode S Code,Fractional  Ownership,Airworthiness Date,Other Name 1,Other Name 2,Other Name 3,Other Name 4,Other Name 5,Expiration Date,Unique ID,Kit MFR Code,Kit Model,Mose S Code Hex
843DN,31954,138488K,13078,2015,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-051                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150724,20150724,"1T        ",5,5,"V ",52705526," ",20150717,NULL,NULL,NULL,NULL,NULL,20180731,1169103,"    ",NULL,NULL
850UA,1653,3930317,34601,2002,NULL,"UNITED AIRLINES INC                               ","ATTN TREASURER WILLIS TOWER      ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151211,20130401,"1T        ",5,4,"V ",52724433," ",20020308,NULL,NULL,NULL,NULL,NULL,20190430,874077,"    ",NULL,NULL
817DN,31929,138488K,13078,2014,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST                    ","SALT LAKE CITY    ",UT,841111919,S,35,US,20161121,20140318,"1T        ",5,5,"V ",52621665," ",20140317,NULL,NULL,NULL,NULL,NULL,20200331,1127130,"    ",NULL,NULL
808DN,31920,138488K,13078,2013,NULL,"DELTA AIR LINES INC                               ","DEPT 595 AIRCRAFT REGISTRATIONS  ","1775 M H JACKSON SERVICE RD      ","ATLANTA           ",GA,303543743,7,121,US,20160825,20131121,"1T        ",5,5,"V ",52577755," ",20131115,NULL,NULL,NULL,NULL,NULL,20191130,1127124,"    ",NULL,NULL
842DN,31953,138488K,13078,2015,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-051                    ","299 S MAIN ST 5TH FL             ","SALT LAKE CITY    ",UT,84111,S,35,US,20150715,20150715,"1T        ",5,5,"V ",52703637," ",20150701,NULL,NULL,NULL,NULL,NULL,20180731,1169102,"    ",NULL,NULL
833DN,31944,138488K,13078,2015,NULL,"DELTA AIR LINES INC                               ","DEPT 595 AIRCRAFT REGISTRATIONS  ","1775 MH JACKSON SERVICE RD       ","ATLANTA           ",GA,30354,7,121,US,20150128,20150128,"1T        ",5,5,"V ",52661727," ",20150128,NULL,NULL,NULL,NULL,NULL,20180131,1159509,"    ",NULL,NULL
806DN,31914,138488K,13078,2013,NULL,"DELTA AIR LINES INC                               ","DEPT 595 AIRCRAFT REGISTRATIONS  ","1775 MH JACKSON SERVICE RD       ","ATLANTA           ",GA,30354,7,121,US,20160825,20131112,"1T        ",5,5,"V ",52574177," ",20131108,NULL,NULL,NULL,NULL,NULL,20191130,1127121,"    ",NULL,NULL
840DN,31951,138488K,13078,2015,NULL,"DELTA AIR LINES INC                               ","DEPT 595 AIRCRAFT REGISTRATIONS  ","1775 MH JACKSON SERVICE RD       ","ATLANTA           ",GA,30554,7,139,US,20150515,20150515,41,5,5,"V ",52700061," ",20150501,NULL,NULL,NULL,NULL,NULL,20180531,1169100,"    ",NULL,NULL
847DN,31958,138488K,13078,2015,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","FL 5 MAC U1228-051               ","299 S MAIN ST                    ","SALT LAKE CITY    ",UT,84111,S,35,US,20151006,20151006,"1T        ",5,5,"V ",52715062," ",20151005,NULL,NULL,NULL,NULL,NULL,20181031,1183266,"    ",NULL,NULL
819DN,31930,138488K,13078,2014,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150129,20140425,"1T        ",5,5,25,52625443," ",20140425,NULL,NULL,NULL,NULL,NULL,20170430,1127133,"    ",NULL,NULL
822DN,31933,138488K,13078,2014,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FL             ","MAC U1228-51                     ","SALT LAKE CITY    ",UT,84111,S,35,US,20150130,20140612,"1T        ",5,5,"V ",52634241," ",20140611,NULL,NULL,NULL,NULL,NULL,20170630,1137959,"    ",NULL,NULL
838DN,31949,138488K,13078,2015,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595                         ","ATLANTA           ",GA,303543743,7,121,US,20150415,20150415,"1T        ",5,5,"V ",52673152," ",20150412,NULL,NULL,NULL,NULL,NULL,20180430,1169098,"    ",NULL,NULL
